视频排名,视频名,播放量,弹幕量,up主,视频链接
1,【罗翔】对上海名媛指责过后，我发现错误在我,"
              453万
            ","
              3.2万
            ","
                罗翔说刑法
              ",//www.bilibili.com/video/BV1Mv411k788
2,对不起，让你们失望了,"
              342万
            ","
              5.2万
            ","
                啊吗粽
              ",//www.bilibili.com/video/BV1N54y127dm
3,史上最贵佛跳墙！历时30天，耗资5000元，千万不要在家做！,"
              220.1万
            ","
              1.6万
            ","
                盗月社食遇记
              ",//www.bilibili.com/video/BV1G54y1C7Zb
4,在教室里使用时间暂停后【阅片无数动漫篇13】,"
              202.9万
            ","
              1.6万
            ","
                凉风Kaze
              ",//www.bilibili.com/video/BV1ny4y1C7Xu
5,教你如何从木头里取出一只特朗普,"
              148.7万
            ","
              4461
            ","
                卢正义的雕刻时光
              ",//www.bilibili.com/video/BV17i4y1j7RY
6,我我我结婚啦！！！！,"
              140.4万
            ","
              2.4万
            ","
                力元君
              ",//www.bilibili.com/video/BV1RA41177H8
7,只有一张卡能做什么！【水无月菌】,"
              130.3万
            ","
              6811
            ","
                水无月菌
              ",//www.bilibili.com/video/BV1AZ4y1L7fi
8,我的娘子竟然有了喜脉？！,"
              115.8万
            ","
              1.2万
            ","
                吃素的狮子
              ",//www.bilibili.com/video/BV15D4y1d7zL
9,逐句反驳郭敬明三重诡辩！硬核拆解《演员请就位2》口水仗,"
              142.5万
            ","
              2.5万
            ","
                开心嘴炮
              ",//www.bilibili.com/video/BV1VZ4y1L7fx
10,身坚智残,"
              114万
            ","
              1.3万
            ","
                某幻君
              ",//www.bilibili.com/video/BV1pT4y1w7v2
11,《崩坏3》周年庆动画 潜行吧琪亚娜！,"
              68.3万
            ","
              1503
            ","
                姬海棠羽笠果
              ",//www.bilibili.com/video/BV1y54y1k7CB
12,滔搏：让二追三的真相,"
              149.7万
            ","
              1811
            ","
                丧气的Ray
              ",//www.bilibili.com/video/BV1MK411A7g3
13,无人能撑住一分钟，30秒不投币！算我输！！！,"
              153.3万
            ","
              3741
            ","
                剪刀手瑜乔
              ",//www.bilibili.com/video/BV1BA411J7FP
14,大概全站的人都会被推送到这个视频吧！,"
              76万
            ","
              2793
            ","
                小米酱会发光
              ",//www.bilibili.com/video/BV1oK411P7JU
15,【阿莘】肉疼预警！奢侈的最高境界就是用一整套彩妆来画画｜用花西子苗族礼盒画苗族姑娘,"
              126.2万
            ","
              2664
            ","
                -阿莘-
              ",//www.bilibili.com/video/BV1py4y1C7XQ
16,宇 智 波 汤 姆 V S 千 手 杰 瑞（上）,"
              189.4万
            ","
              1282
            ","
                豆豆动漫T
              ",//www.bilibili.com/video/BV1eK411N77i
17,不小心住到超恐怖酒店！！！我和朋友都…【江南拍摄vlog】,"
              141.6万
            ","
              7793
            ","
                机智的党妹
              ",//www.bilibili.com/video/BV1Zp4y1r7ZA
18,好 哥 们,"
              245.4万
            ","
              10.5万
            ","
                老番茄
              ",//www.bilibili.com/video/BV1nK411A73K
19,[2020全球总决赛]10月17日八强赛 TES vs FNC,"
              422.6万
            ","
              7.3万
            ","
                哔哩哔哩英雄联盟赛事
              ",//www.bilibili.com/video/BV1zA41177FQ
20,【围炉夜话】学医救不了中国人？鲁迅弃医从文的真相。（谈鲁迅3）,"
              68.4万
            ","
              7548
            ","
                智能路障
              ",//www.bilibili.com/video/BV1vf4y1B7nH
21,每天一遍，防止早恋,"
              145.5万
            ","
              2406
            ","
                会唱跳Rap的胖虎
              ",//www.bilibili.com/video/BV1g54y1C7rD
22,老子年轻时吊打全世界！全球第一美男，男人见了也要垂涎三分！！！,"
              112.3万
            ","
              1838
            ","
                在下啵啵君
              ",//www.bilibili.com/video/BV1ty4y1C7k7
23,【动画】闰土与猹的世纪之战，引发了课本宇宙的时空错乱,"
              75.4万
            ","
              1910
            ","
                王不病
              ",//www.bilibili.com/video/BV1jT4y1w7En
24,【艾叔】广州6500万半山豪宅，惊现20本房产证是怎样的心情,"
              114.4万
            ","
              1.8万
            ","
                小艾大叔
              ",//www.bilibili.com/video/BV1eV411277i
25,网上爆火的抖臀蛋糕微波炉就可以做？学会这个以后不用买了！,"
              123万
            ","
              1.2万
            ","
                记录生活的蛋黄派
              ",//www.bilibili.com/video/BV1Ja4y1L7uZ
26,【医学博士】你一边熬夜一边担心猝死的样子真朋克啊！I 人间急救指南,"
              64.3万
            ","
              5185
            ","
                兔叭咯
              ",//www.bilibili.com/video/BV1VZ4y1L77c
27,【warma爆炸电台】来聊些以前从没说过的吧！【第九期】,"
              46.7万
            ","
              1.8万
            ","
                Warma
              ",//www.bilibili.com/video/BV1bV41127Da
28,假扮英国名媛体验2000元顶级下午茶,"
              120.4万
            ","
              9448
            ","
                假美食po主
              ",//www.bilibili.com/video/BV1R54y1k7jD
29,试吃米其林特供日本草莓，一颗50元！为何日本水果这么贵？,"
              156.2万
            ","
              1.1万
            ","
                我是郭杰瑞
              ",//www.bilibili.com/video/BV1Lv411k7JD
30,【大制作神还原】真 人 版 · 原 神 兄 弟,"
              69.7万
            ","
              2187
            ","
                Ty丶童心未泯
              ",//www.bilibili.com/video/BV1Up4y1r7RR
31,北 京 烤 鸭,"
              156.5万
            ","
              5511
            ","
                大祥哥来了
              ",//www.bilibili.com/video/BV1UK4y1h7Cq
32,揭露美国抗疫失败的纪录片《完全可控》中文完整版,"
              83.5万
            ","
              7090
            ","
                留学生日报
              ",//www.bilibili.com/video/BV1Di4y1E7S2
33,中国记者VS俄罗斯记者,"
              146.1万
            ","
              3172
            ","
                三流杀猪匠
              ",//www.bilibili.com/video/BV1LV41127PM
34,“名媛”被疯狂扒皮后 小红书该如何存活？【奇妙的舆论战】,"
              133.7万
            ","
              6000
            ","
                天降呦呦
              ",//www.bilibili.com/video/BV1fk4y1C7rR
35,B站最奢侈猫片！花4600做辣卤皇帝蟹，这也太好吃了吧！,"
              73.2万
            ","
              8643
            ","
                花花与三猫CatLive
              ",//www.bilibili.com/video/BV1H54y1R7FV
36,使命怎么又在召唤,"
              75.2万
            ","
              4229
            ","
                -星辰菌-
              ",//www.bilibili.com/video/BV1JZ4y157R1
37,最强歇后语对决！,"
              86.1万
            ","
              1484
            ","
                冷淡熊
              ",//www.bilibili.com/video/BV1Ba4y1L7oc
38,混不进某“名媛”群，下血本单拼了5000一晚的顶级酒店……,"
              74.1万
            ","
              6359
            ","
                福乐小哥
              ",//www.bilibili.com/video/BV1dp4y1r7jb
39,大司马强制登录FNC打野账号，助他们一臂之力！,"
              78.1万
            ","
              2014
            ","
                吟游大司人
              ",//www.bilibili.com/video/BV1TZ4y1L7bp
40,小东西花样不少啊,"
              93.5万
            ","
              2761
            ","
                大霓奈
              ",//www.bilibili.com/video/BV1mt4y1v7kW
41,超级下饭！S10搞笑失误操作集锦！,"
              100万
            ","
              1669
            ","
                靠脸吃饭的徐大王
              ",//www.bilibili.com/video/BV1Ea411A7fu
42,谨以此片献给所有珂学家。如果幸福有颜色，那一定是终末之红染尽的蓝色！,"
              33.3万
            ","
              1962
            ","
                久远丶酱
              ",//www.bilibili.com/video/BV12541157LD
43,史上最骚解说：在CCTV5看武侠剧是什么体验？（季后赛）,"
              76.3万
            ","
              2753
            ","
                Super也好君
              ",//www.bilibili.com/video/BV14a4y1L757
44,干将莫邪100%命中 物 理 挂,"
              110.6万
            ","
              758
            ","
                骚铭
              ",//www.bilibili.com/video/BV1AT4y1w7wZ
45,【懂点儿啥】台湾间谍是怎么在大陆送人头的,"
              115.2万
            ","
              1.4万
            ","
                观察者网
              ",//www.bilibili.com/video/BV1uV411y7dL
46,华农兄弟：很多粉丝问“送终鸡”去哪里了？带大家看一下它,"
              112.9万
            ","
              5069
            ","
                华农兄弟
              ",//www.bilibili.com/video/BV1Ez4y1o74o
47,兔兔.GIF,"
              67.2万
            ","
              476
            ","
                呆西m
              ",//www.bilibili.com/video/BV1xD4y1d793
48,JDG：SN年轻人不讲武德！,"
              107.1万
            ","
              775
            ","
                SAFIA哒
              ",//www.bilibili.com/video/BV1vK411N7eg
49,【半佛】开民宿赚大钱是彻头彻尾的骗局。,"
              99.9万
            ","
              4075
            ","
                硬核的半佛仙人
              ",//www.bilibili.com/video/BV1ty4y1C7be
50,【朱一旦】231 抽空去应聘了个董事长,"
              167.6万
            ","
              4431
            ","
                朱一旦的枯燥生活
              ",//www.bilibili.com/video/BV1JZ4y1L7iX
51,僵尸：这变形金刚哪里来的啊！,"
              134.9万
            ","
              2260
            ","
                盒子酸奶
              ",//www.bilibili.com/video/BV1Ta411A7bM
52,梦幻联动！《糖豆人：bilibili干杯》内测视频流出！！,"
              73.7万
            ","
              1251
            ","
                独行侠Lonerangerix
              ",//www.bilibili.com/video/BV1xf4y1B7zD
53,全 程 高 能【第十二集】,"
              39万
            ","
              9333
            ","
                吉儿一范伦婷
              ",//www.bilibili.com/video/BV1Ka411A76X
54,这钱，一分都不能少！,"
              52.8万
            ","
              2755
            ","
                进击的金厂长
              ",//www.bilibili.com/video/BV15D4y1d7DN
55,特朗普早期代言O~泡果奶的珍贵影像资料,"
              69.9万
            ","
              876
            ","
                笔画笔划MwM
              ",//www.bilibili.com/video/BV1Lv411k78E
56,【2020小宇宙新星计划】《天启日》,"
              27.7万
            ","
              4565
            ","
                墨色IN_Cloer
              ",//www.bilibili.com/video/BV1bK4y1h7oi
57,你永远想象不到真正的北京人有多富？,"
              50.3万
            ","
              5124
            ","
                好看不火的梦想家ALI
              ",//www.bilibili.com/video/BV1xf4y1B77o
58,时隔30年我妈居然又要给我生个弟弟，对不起，我真的有点接受不了。。。,"
              116.8万
            ","
              5969
            ","
                肌肉山山
              ",//www.bilibili.com/video/BV1LD4y1d7p2
59,宫子的手机提示音！拿去用！,"
              61.5万
            ","
              396
            ","
                魔法小樱酱
              ",//www.bilibili.com/video/BV12v411k7bY
60,嘴歪眼呆？你的身份证该换啦！证件照拍照攻略技巧分享,"
              39.2万
            ","
              5028
            ","
                塑料叉FOKU
              ",//www.bilibili.com/video/BV1wK411A71X
61,【银心黑洞】2020年诺贝尔物理学获奖者的世界观，有多颠覆？,"
              47万
            ","
              2460
            ","
                艾栗夏
              ",//www.bilibili.com/video/BV18V41127Qy
62,【相对论】跟美国人谈疫情？郭杰瑞：“对牛弹琴”,"
              91.2万
            ","
              1.4万
            ","
                央视新闻
              ",//www.bilibili.com/video/BV1Ak4y1y7MZ
63,【小仙若】紫光夜-,"
              68.2万
            ","
              869
            ","
                一只小仙若
              ",//www.bilibili.com/video/BV1c54y1C7fR
64,2050年的中国和世界会变成什么样？,"
              49.2万
            ","
              7117
            ","
                所长林超
              ",//www.bilibili.com/video/BV1J54y1R7Eu
65,这动画也太搞笑了！2020十月新番吐槽大盘点（第二弹）,"
              70.3万
            ","
              2281
            ","
                LexBurner
              ",//www.bilibili.com/video/BV1qV41127fM
66,第8期（上）战队重组挑战极限创作【说唱新世代】,"
              278.5万
            ","
              15.7万
            ","
                说唱新世代
              ",//www.bilibili.com/video/BV1UK4y1h7Wm
67,村民：你不对劲！,"
              57.1万
            ","
              5157
            ","
                与山0v0
              ",//www.bilibili.com/video/BV1yz4y1d76g
68,蟑螂-表面淬火（崭新出场）,"
              107.7万
            ","
              1564
            ","
                赤豆酒酿小曦
              ",//www.bilibili.com/video/BV1Xk4y1C7eq
69,开百万豪车当滴滴司机？这次我还蹭了一顿千人婚宴！,"
              77.3万
            ","
              2701
            ","
                杰克-涛
              ",//www.bilibili.com/video/BV1L541177t9
70,这是个音乐游戏？？,"
              45.6万
            ","
              591
            ","
                哦呼w
              ",//www.bilibili.com/video/BV1hv411C7jk
71,用红警的方式打开蚁族物种【龙女动物学】蚂蚁与白蚁,"
              36.1万
            ","
              2564
            ","
                龙女之声
              ",//www.bilibili.com/video/BV1EZ4y1L7yR
72,我是米神的小狼狗,"
              51.9万
            ","
              2541
            ","
                籽岷
              ",//www.bilibili.com/video/BV13y4y1r7gt
73,《老炮儿联盟》：内战！SN上限更高？终于终于磕一个了！！！,"
              53.7万
            ","
              5129
            ","
                老炮儿联盟
              ",//www.bilibili.com/video/BV1qy4y1C7WD
74,【2020网络青晚】大佬公寓,"
              58.4万
            ","
              2125
            ","
                共青团中央
              ",//www.bilibili.com/video/BV1rD4y1d77a
75,【low君】国剧之光第八期——《战长沙》,"
              28万
            ","
              5995
            ","
                low君热剧
              ",//www.bilibili.com/video/BV1Q54y1k7Ut
76,上甘岭战役惨烈到什么程度？志愿军战士如何1vs280？抗美援朝始末（九）【列国志22】,"
              41.7万
            ","
              8348
            ","
                四月是我的生日
              ",//www.bilibili.com/video/BV1bi4y1j75A
77,求生之路3 美国沦陷,"
              62.6万
            ","
              2053
            ","
                三木刃
              ",//www.bilibili.com/video/BV1yK4y1h7XH
78,一年后，我终于买下了一台法拉利！,"
              57.7万
            ","
              3359
            ","
                雨哥到处跑
              ",//www.bilibili.com/video/BV1EK411A7eB
79,英雄麦克疯：搏至无憾奋力向前，让二追三创造历史,"
              75.3万
            ","
              1964
            ","
                英雄联盟赛事
              ",//www.bilibili.com/video/BV1Rz4y1d78j
80,【大事件第七季】大事件剧组全员鸽化，王尼玛自创鸽言鸽语,"
              52.2万
            ","
              5703
            ","
                暴走漫画
              ",//www.bilibili.com/video/BV1EZ4y1L79x
81,《One Day》万人合唱（字幕版）,"
              45万
            ","
              2566
            ","
                起个名字真的非常非常难
              ",//www.bilibili.com/video/BV1H54y117P2
82,《KING》翻唱【鹿乃】,"
              23.8万
            ","
              743
            ","
                鹿乃ちゃん
              ",//www.bilibili.com/video/BV1By4y1C72f
83,在麦当劳除了吃薯条还能做什么？,"
              55.1万
            ","
              253
            ","
                上官绯樱
              ",//www.bilibili.com/video/BV1rt4y1v7WL
84,一到周末，我就开心,"
              79万
            ","
              1141
            ","
                疯狂小杨哥
              ",//www.bilibili.com/video/BV1Fk4y1y7vM
85,郎 朗 上 头,"
              54.4万
            ","
              859
            ","
                OELoop
              ",//www.bilibili.com/video/BV19a411w7g1
86,《Monsters》原唱 Katie Sky 来看周深的翻唱视频啦！她是怎样评价周深的呢？快来看！....... (周深REACTION),"
              54.9万
            ","
              2795
            ","
                英国杰克
              ",//www.bilibili.com/video/BV1LV41127A9
87,这是一个逆天级的游戏彩蛋！佛祖看了想落泪！,"
              36.9万
            ","
              1283
            ","
                好运的鱼
              ",//www.bilibili.com/video/BV1HD4y1d7UK
88,人与人的悲欢并不相通，狼行：小花生你在干什么？,"
              58.4万
            ","
              4114
            ","
                国电武术馆馆长
              ",//www.bilibili.com/video/BV1Uf4y1B7wg
89,对不起，水花有点大,"
              65万
            ","
              3381
            ","
                我才不是大胖
              ",//www.bilibili.com/video/BV1ZK411w7xb
90,纯爱战士！ 源石虫！,"
              35.4万
            ","
              938
            ","
                大大大灯泡
              ",//www.bilibili.com/video/BV1rV41127TE
91,原音版本来了……,"
              66万
            ","
              449
            ","
                -可可可可可-
              ",//www.bilibili.com/video/BV1ga4y1L7mH
92,温铁军：中国面临的局势很严峻，我不能再笑着说了【温铁军践闻录2-1】,"
              46.3万
            ","
              2931
            ","
                观视频工作室
              ",//www.bilibili.com/video/BV1jT4y1w7LJ
93,【后台揭秘】S10的直播方案为什么这么贵？,"
              54.5万
            ","
              2170
            ","
                影视飓风
              ",//www.bilibili.com/video/BV1St4y1v77R
94,“今天说两件事”,"
              44.2万
            ","
              2515
            ","
                小缸和阿灿
              ",//www.bilibili.com/video/BV1At4y1i7XC
95,前方帅爆！！当我出手的那一刻！世界将就此泯灭！！！,"
              41.5万
            ","
              903
            ","
                烟季
              ",//www.bilibili.com/video/BV1P541187VD
96,双11超全选鞋攻略！4大需求13双好鞋258元起！花最少的钱买最好的鞋！Z说球鞋看家视频，收藏备用~,"
              48.6万
            ","
              7088
            ","
                zettaranc
              ",//www.bilibili.com/video/BV1py4y1C7Ha
97,2020年的游戏居然还有恶性BUG，剧情牛逼但是我后面玩不了啊,"
              65.4万
            ","
              2091
            ","
                黑镖客梦回
              ",//www.bilibili.com/video/BV17V41127Gv
98,爱 拼 才 会 赢,"
              35.9万
            ","
              607
            ","
                面粉社长
              ",//www.bilibili.com/video/BV1MV411y7g6
99,百万up的上门服务~送钻到你家！,"
              80.7万
            ","
              2166
            ","
                敬汉卿
              ",//www.bilibili.com/video/BV1Sr4y1c73B
100,买什么车能反钓名媛？,"
              96万
            ","
              516
            ","
                一鹿有车
              ",//www.bilibili.com/video/BV1Dt4y1v7Z3
